shap_transactions_last_24h,shap_distance_from_home,shap_amount_vs_avg_ratio,shap_transaction_amount,shap_failed_attempts,shap_is_foreign_transaction,shap_account_age_days,shap_hour_of_day,shap_avg_transaction_amt,shap_is_online,shap_merchant_category,shap_day_of_week,shap_is_weekend
-10.595200023811108,0.2968179626587,-0.23708206740055968,-0.04602705414833021,-0.04638901124461789,-0.06885850679232607,-0.0020337981145493803,-0.012339670279945945,0.0003792486073718484,-0.01820510980593897,-0.0023917891390814673,-0.0007328757621724584,1.2557435055369466e-05
-10.465184992973066,-0.06634563545904401,-0.1825358340062035,-0.01079713268235048,-0.021219080199675815,0.024672139429484093,-0.0007829521132959523,-0.0030116442550884174,-0.000618883796952844,-0.005575220568181664,0.0023045129213741604,-0.0006437256563051677,5.654883391617561e-06
-10.240646439241443,-0.13773845544437516,-0.21416529381354157,-0.037004650263377306,-0.031539633159919284,-0.045809978360549695,-0.0014462270828792321,-0.006789634926506259,0.0005473514969051761,-0.015665403326224642,0.0007384639589638273,-0.00023967646562899215,2.85734296734291e-05
-10.455409776830557,-0.04834684971940096,-0.18515436071852062,-0.011309310134097623,-0.014359580988337166,-0.01639975712045981,0.00015344846483158968,-0.0018928508560136857,-0.0005040841702161537,0.003041948672345921,0.0004651810951105663,-3.282990352807992e-05,1.7819009987217345e-05
-10.59004418427272,0.29171328305463506,-0.23698405845230278,-0.046752587485080654,-0.04792622916217371,-0.06791712982220074,-0.0017011683656788263,-0.011573177646624116,-0.0006245904411130915,-0.017098198764884276,-0.0027401595454750877,-0.00041972281790910473,1.7785924027834567e-05
-10.624260755260165,0.31352541387832766,-0.23772577733931605,-0.003379773884330294,-0.045331493981580206,-0.060394628954120365,-0.006347165682494738,-0.011214451237567327,-0.05881634448903691,0.01290608092074886,-0.008631110060392666,-0.0024486663545651008,6.85346469813917e-05
8.218479773342713,2.2010295411996412,-0.09607667684258205,0.14706951730296808,0.06565442155970572,0.14630956385144298,0.0102253947905,-0.012491068391564329,0.022209906165947514,0.02077467177860284,-0.002470109838412818,0.00693601532270225,0.0005262331788112462
-10.239717963367498,-0.13877190495446876,-0.213030742216911,-0.03707987927835081,-0.03242609075759807,-0.04596369184219295,0.0003579210275215975,-0.006600171898477605,0.0017239964024358613,-0.01594318459159738,-0.0020921686225063895,-0.0002156965289288241,2.85734296734291e-05
-10.24201808840102,-0.13532425447615187,-0.21393946063708497,-0.03594843756780244,-0.03212884761431986,-0.04568299010360748,-0.001429299609503894,-0.006774297787009265,4.771026694281043e-06,-0.01477632789452903,-0.0015463641814840333,-0.00019597938275198176,2.85734296734291e-05
-10.237798249893084,-0.15000764385791288,-0.20383082047544748,-0.0006868100904087436,-0.026996066247657286,-0.04106495308253485,-0.0008827443606617797,-0.007295559272287643,-0.038652796693228554,-0.020173935950247426,-0.002919537893325419,0.000516589380216481,6.152523769737779e-05
-10.45138159967364,-0.04476728294423242,-0.18408339814042318,-0.010501087614378192,-0.014624695997997962,-0.016488701110104146,-0.00031014575198028675,-0.0015192958059930908,-0.0002491987872243965,-0.004996880107532323,-0.0007286487747682463,-8.946910919466067e-05,9.400618607599185e-06
